folder,category,last_modified,mode,pipeline,num_steps,guidance_scale,strength,controlnet_scale,strict_morphology,stable_mode,appearance_prior_used,appearance_prior_path,seed,num_images,file_count,source_files,notes
outputs/aculeata_photorealistic_v6_no_controlnet,outputs,2026-03-09 17:27:30,morphology_guided_no_controlnet,StableDiffusionImg2ImgPipeline,100,7.5,0.8,,,False,True,/home/maria-luiza-duda/datasets/appearance_prior/cumacea_photos,99,1,3,generation_metadata.json,prompt_truncated
outputs/aculeata_photorealistic_v5_extreme,outputs,2026-03-09 16:57:26,morphology_guided,StableDiffusionControlNetImg2ImgPipeline,100,7.0,0.72,1.0,False,False,True,/home/maria-luiza-duda/datasets/appearance_prior/cumacea_photos,42,1,3,generation_metadata.json,prompt_truncated
outputs/aculeata_photorealistic_v4_unlocked,outputs,2026-03-09 16:37:46,morphology_guided,StableDiffusionControlNetImg2ImgPipeline,100,6.5,0.62,1.35,False,False,True,/home/maria-luiza-duda/datasets/appearance_prior/cumacea_photos,42,2,4,generation_metadata.json,prompt_truncated
outputs/aculeata_photorealistic_v3,outputs,2026-03-09 16:08:12,morphology_guided,StableDiffusionControlNetImg2ImgPipeline,90,5.0,0.45,1.9,True,False,True,/home/maria-luiza-duda/datasets/appearance_prior/cumacea_photos,42,3,5,generation_metadata.json,prompt_truncated
outputs/aculeata_photo_with_prior_v2,outputs,2026-03-09 15:10:58,morphology_guided,StableDiffusionControlNetImg2ImgPipeline,70,4.8,0.42,1.9,True,False,True,/home/maria-luiza-duda/datasets/appearance_prior/cumacea_photos,123,3,5,generation_metadata.json,prompt_truncated
outputs/aculeata_photo_with_prior,outputs,2026-03-09 14:52:50,morphology_guided,StableDiffusionControlNetImg2ImgPipeline,50,4.5,0.35,1.8,True,False,True,/home/maria-luiza-duda/datasets/appearance_prior/cumacea_photos,77,1,3,generation_metadata.json,prompt_truncated
outputs/aculeata_photorealistic,outputs,2026-03-09 14:42:56,morphology_guided,StableDiffusionControlNetImg2ImgPipeline,70,4.5,0.35,1.8,True,False,False,/home/maria-luiza-duda/datasets/appearance_prior/cumacea_photos,123,3,5,generation_metadata.json,prompt_truncated
outputs/aculeata_final_test,outputs,2026-03-09 14:26:00,morphology_guided,StableDiffusionControlNetImg2ImgPipeline,60,3.0,0.08,2.0,True,False,False,/home/maria-luiza-duda/datasets/appearance_prior/cumacea_photos,42,3,5,generation_metadata.json,prompt_truncated
outputs/aculeata_ultra_conservative,outputs,2026-03-09 14:20:20,,,,,,,,,,,,,0,,
outputs/debug_no_controlnet,outputs,2026-03-09 14:15:40,morphology_guided_no_controlnet,StableDiffusionImg2ImgPipeline,6,3.0,0.15,,,True,True,,42,,15,11_debug_report.json;11_pipeline_info.json;13_generation_args.json,prompt_truncated
outputs/my_photos_strict_morph_v2,outputs,2026-03-09 13:26:50,morphology_guided,StableDiffusionControlNetImg2ImgPipeline,50,7.0,0.2,1.35,True,False,False,/home/maria-luiza-duda/datasets/appearance_prior/cumacea_photos,42,1,3,generation_metadata.json,prompt_truncated
outputs/my_photos_strict_morph,outputs,2026-03-09 13:21:07,morphology_guided,StableDiffusionControlNetImg2ImgPipeline,50,7.0,0.2,1.35,True,False,False,/home/maria-luiza-duda/datasets/appearance_prior/cumacea_photos,42,1,3,generation_metadata.json,prompt_truncated
outputs/debug_no_controlnet_fix,outputs,2026-03-09 13:13:00,morphology_guided_no_controlnet,StableDiffusionImg2ImgPipeline,6,3.0,0.15,,,True,True,,42,,15,11_debug_report.json;11_pipeline_info.json;13_generation_args.json,prompt_truncated
outputs/my_photos_cpu_fix2,outputs,2026-03-09 13:11:43,morphology_guided,StableDiffusionControlNetImg2ImgPipeline,20,6.5,0.45,1.0,,False,False,/home/maria-luiza-duda/datasets/appearance_prior/cumacea_photos,42,1,3,generation_metadata.json,prompt_truncated
outputs/my_photos_cpu_fix,outputs,2026-03-09 13:03:25,,,,,,,,,,,,,0,,
outputs/my_photos,outputs,2026-03-09 12:58:25,,,,,,,,,,,,,0,,
outputs/debug_cpu_test,outputs,2026-03-09 12:25:28,morphology_guided_no_controlnet,StableDiffusionImg2ImgPipeline,6,3.0,0.15,,,True,True,,42,,14,11_debug_report.json;11_pipeline_info.json;13_generation_args.json,generation_failed;prompt_truncated
outputs/debug_nan_trace,outputs,2026-03-09 11:33:03,,,,,,,,,,,,,10,,
outputs/debug_aculeata,outputs,2026-03-09 11:14:17,,StableDiffusionControlNetImg2ImgPipeline,8,4.0,0.25,1.0,,,True,,42,,16,11_debug_report.json;11_pipeline_info.json;13_generation_args.json,prompt_truncated
outputs/debug_aculeata_promptfix,outputs,2026-03-09 11:07:36,,StableDiffusionControlNetImg2ImgPipeline,8,4.0,0.25,1.0,,,True,,42,,16,11_debug_report.json;11_pipeline_info.json;13_generation_args.json,prompt_truncated
outputs/debug_aculeata_safetytest2,outputs,2026-03-09 10:37:31,,StableDiffusionControlNetImg2ImgPipeline,8,4.0,0.25,1.0,,,True,,42,,15,11_debug_report.json;11_pipeline_info.json;13_generation_args.json,prompt_truncated
outputs/debug_aculeata_safetytest,outputs,2026-03-09 10:26:02,,StableDiffusionControlNetImg2ImgPipeline,8,4.0,0.25,1.0,,,True,,42,,15,11_debug_report.json;11_pipeline_info.json;13_generation_args.json,generation_failed;prompt_truncated
debug_output,debug,2026-03-09 01:40:06,,StableDiffusionControlNetImg2ImgPipeline,12,5.0,0.4,1.0,,,False,,42,,13,11_debug_report.json;11_pipeline_info.json;13_generation_args.json,generation_failed;prompt_truncated
outputs/final_realistic_prompt],outputs,2026-03-09 01:18:32,,StableDiffusionControlNetImg2ImgPipeline,20,7.5,0.4,1.0,,,True,,42,,13,11_debug_report.json;11_pipeline_info.json;13_generation_args.json,prompt_truncated
outputs/debug_fullphrase_realistic,outputs,2026-03-09 00:27:07,,,,,,,,,,,,,9,,
outputs/debug_aculeata_fullphrases,outputs,2026-03-08 22:59:11,,StableDiffusionControlNetImg2ImgPipeline,20,7.5,0.4,1.0,,,True,,42,,13,11_debug_report.json;11_pipeline_info.json;13_generation_args.json,prompt_truncated
outputs/debug_aculeata_realtext,outputs,2026-03-08 21:52:38,,StableDiffusionControlNetImg2ImgPipeline,20,7.5,0.4,1.0,,,True,,42,,13,11_pipeline_info.json;13_generation_args.json;15_debug_report.json,prompt_truncated
debug_prompt_final2,debug,2026-03-08 21:21:50,,StableDiffusionControlNetImg2ImgPipeline,20,7.5,0.4,1.0,,,False,,42,,13,11_pipeline_info.json;13_generation_args.json;15_debug_report.json,prompt_truncated
debug_prompt_final,debug,2026-03-08 20:55:11,,StableDiffusionControlNetImg2ImgPipeline,20,7.5,0.4,1.0,,,False,,42,,13,11_pipeline_info.json;13_generation_args.json;15_debug_report.json,prompt_truncated
debug_prompt_test2,debug,2026-03-08 20:14:39,,StableDiffusionControlNetImg2ImgPipeline,20,7.5,0.4,1.0,,,False,,42,,12,11_pipeline_info.json;13_generation_args.json;15_debug_report.json,prompt_truncated
debug_prompt_test,debug,2026-03-08 19:44:18,,StableDiffusionControlNetImg2ImgPipeline,20,7.5,0.4,1.0,,,False,,42,,12,11_pipeline_info.json;13_generation_args.json;15_debug_report.json,prompt_truncated
debug_auto_test,debug,2026-03-08 19:06:09,,StableDiffusionControlNetImg2ImgPipeline,20,7.5,0.4,1.0,,,False,,42,,10,11_pipeline_info.json;12_generation_args.json,
debug_test,debug,2026-03-08 18:41:15,,StableDiffusionControlNetImg2ImgPipeline,20,7.5,0.4,1.0,,,False,,42,,9,08_pipeline_info.json;09_generation_args.json,
test_output5,smoke,2026-03-08 18:33:51,,,,,,,,,,,,,0,,
test_output4,smoke,2026-03-08 18:31:50,,,,,,,,,,,,,0,,
test_output3,smoke,2026-03-08 18:30:26,,,,,,,,,,,,,0,,
test_output2,smoke,2026-03-08 18:28:32,morphology_guided,,,,0.4,1.0,,,False,,42,,2,metadata.json,generation_failed
outputs/debug_test2,outputs,2026-03-08 18:23:54,,StableDiffusionControlNetImg2ImgPipeline,20,7.5,0.4,1.0,,,True,,42,,11,08_pipeline_info.json;09_generation_args.json;11_debug_report.json,
outputs/debug_test,outputs,2026-03-08 18:22:45,,StableDiffusionControlNetImg2ImgPipeline,20,7.5,0.4,1.0,,,True,,42,,11,08_pipeline_info.json;09_generation_args.json;11_debug_report.json,
test_output,smoke,2026-03-08 09:09:33,morphology_guided,,,,0.4,1.0,,,False,,42,,2,metadata.json,generation_failed
outputs/smoke_test,outputs,2026-03-08 00:06:17,morphology_guided,,,,0.4,1.0,,,True,/home/maria-luiza-duda/datasets/appearance_prior/cumacea_photos,42,,2,metadata.json,generation_failed
outputs/batch_illustration_only,outputs,2026-03-07 20:18:40,,,,,,,,,,,,,0,,
outputs/batch_text_only,outputs,2026-03-07 20:18:40,,,,,,,,,,,,,0,,
outputs/batch_text_plus_illustration,outputs,2026-03-07 20:18:40,,,,,,,,,,,,,0,,
